Date,Visitor,VisitorPts,Home,HomePts
10/30/2013,TOR,109,DAL,108
10/30/2013,PHO,103,DEN,99
10/30/2013,CHA,116,DET,106
10/30/2013,HOU,81,IND,114
10/30/2013,MIN,91,LAL,104
10/30/2013,SAC,103,MIA,122
10/30/2013,BRK,120,PHI,121
10/30/2013,WAS,106,BOS,99
10/30/2013,UTA,88,CHA,85
10/30/2013,CLE,84,CHI,100
10/30/2013,HOU,114,DET,97
10/30/2013,LAL,83,GSW,102
10/30/2013,DEN,91,LAC,112
10/30/2013,PHI,106,MIL,116
10/30/2013,MEM,95,NYK,87
10/30/2013,SAC,105,ORL,100
10/30/2013,DAL,108,PHO,123
10/30/2013,NOP,107,POR,110
10/30/2013,OKC,113,SAS,100
10/30/2013,BOS,79,IND,106
10/30/2013,MIN,116,LAC,120
10/30/2013,TOR,104,OKC,98
10/30/2013,IND,103,BRK,86
10/30/2013,MIL,110,CHA,111
10/30/2013,DET,115,CLE,92
10/30/2013,GSW,89,DEN,81
10/30/2013,DAL,111,HOU,104
10/30/2013,UTA,94,MEM,104
10/30/2013,ATL,119,MIA,121
10/30/2013,NYK,103,ORL,98
10/30/2013,LAL,90,PHO,117
10/30/2013,NOP,113,SAC,100
10/30/2013,TOR,99,SAS,112
10/30/2013,CHI,95,BRK,78
10/30/2013,LAC,103,GSW,105
10/30/2013,MIA,101,LAL,95
10/30/2013,OKC,123,NYK,94
10/30/2013,HOU,111,SAS,98
10/30/2013,ATL,127,CLE,125
10/30/2013,SAS,116,DAL,107
10/30/2013,MEM,92,HOU,100
10/30/2013,LAC,112,POR,116
10/30/2013,MIL,93,BRK,104
10/30/2013,OKC,89,CHA,85
10/30/2013,PHO,86,GSW,115
10/30/2013,WAS,98,MIN,120
10/30/2013,DEN,89,NOP,105
10/30/2013,TOR,95,NYK,83
10/30/2013,DET,92,ORL,109
10/30/2013,MIA,103,SAC,108
10/30/2013,LAL,103,UTA,105
10/30/2013,CHA,116,ATL,118
10/30/2013,CLE,100,BOS,103
10/30/2013,DAL,105,CHI,83
10/30/2013,NOP,98,HOU,107
10/30/2013,BRK,91,IND,105
10/30/2013,UTA,90,LAC,98
10/30/2013,DEN,99,MEM,120
10/30/2013,MIN,117,MIL,95
10/30/2013,PHI,101,PHO,115
10/30/2013,MIA,108,POR,107
10/30/2013,NYK,100,TOR,115
10/30/2013,DET,82,WAS,106
10/30/2013,GSW,108,CLE,104
10/30/2013,PHI,111,LAL,104
10/30/2013,HOU,86,OKC,117
10/30/2013,ATL,102,ORL,109
10/30/2013,SAC,104,SAS,112
10/30/2013,MIA,97,DEN,94
10/30/2013,WAS,106,DET,99
10/30/2013,PHO,107,LAC,88
10/30/2013,CHI,95,MEM,91
10/30/2013,DAL,100,MIN,98
10/30/2013,POR,108,NOP,110
10/30/2013,CHA,80,UTA,83
10/30/2013,ATL,92,BOS,91
10/30/2013,TOR,85,CHI,79
10/30/2013,SAC,110,HOU,106
10/30/2013,CLE,76,IND,91
10/30/2013,MIL,94,LAL,79
10/30/2013,POR,98,OKC,94
